DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2023-02-17,1722.7,1815.85,1703.2,1800.0,282372,1747.8
2023-02-16,1796.6,1874.95,1790.0,1820.0,298112,1818.58
2023-02-15,1779.1,1824.4,1750.0,1780.0,385669,1788.18
2023-02-14,1749.7,1889.0,1611.35,1735.0,687240,1736.55
2023-02-13,1717.65,1921.7,1662.25,1850.0,617527,1753.0
2023-02-10,1846.95,1990.0,1733.15,1769.0,539738,1891.35
2023-02-09,1925.7,2168.0,1731.4,2168.0,829391,1972.72
2023-02-08,2164.25,2222.15,1840.85,1869.85,861666,2023.24
2023-02-07,1802.95,1962.7,1525.6,1571.0,809538,1764.46
2023-02-06,1572.7,1615.0,1435.2,1575.0,911312,1539.88
2023-02-03,1586.8,1679.9,1017.45,1490.0,1704970,1354.92
2023-02-02,1565.25,2348.85,1494.75,2348.85,1563346,1827.68
2023-02-01,2135.35,3010.75,1941.2,2995.0,566482,2540.21
2023-01-31,2973.9,3073.6,2906.0,2980.0,497618,2984.79
2023-01-30,2892.85,3037.55,2665.0,2850.0,907742,2865.44
2023-01-27,2761.45,3346.5,2712.0,3335.0,562994,3010.35
2023-01-25,3388.95,3428.0,3315.0,3422.0,114072,3372.68
2023-01-24,3442.0,3508.0,3430.0,3447.45,62403,3458.77
2023-01-23,3436.35,3460.0,3412.55,3443.05,45252,3435.17
2023-01-20,3456.15,3477.35,3440.95,3450.0,55259,3456.32
2023-01-19,3463.55,3537.7,3426.7,3470.0,153420,3468.31
2023-01-18,3596.7,3648.0,3527.1,3648.0,123459,3590.24
2023-01-17,3639.35,3649.6,3560.2,3620.0,75220,3615.39
2023-01-16,3619.8,3739.95,3600.0,3720.0,81657,3637.65
2023-01-13,3721.15,3736.05,3642.2,3651.2,71398,3693.45
2023-01-12,3647.2,3679.0,3612.0,3642.5,61175,3644.0
2023-01-11,3635.8,3664.5,3560.1,3660.0,104118,3616.79
2023-01-10,3646.9,3862.05,3555.0,3859.0,161278,3672.11
2023-01-09,3855.3,3880.0,3811.25,3843.0,42423,3850.6
2023-01-06,3824.25,3868.25,3797.05,3829.0,44367,3834.29
2023-01-05,3829.8,3842.4,3756.9,3827.05,49242,3813.43
2023-01-04,3827.05,3874.95,3803.6,3839.0,47586,3833.86
2023-01-03,3830.95,3852.85,3791.0,3841.9,38042,3830.96
2023-01-02,3841.2,3874.0,3822.55,3870.0,42124,3847.82
2022-12-30,3858.35,3898.0,3822.05,3829.7,59598,3858.43
2022-12-29,3810.6,3825.0,3748.1,3790.0,67660,3790.66
2022-12-28,3797.7,3825.0,3745.0,3756.05,58991,3784.81
2022-12-27,3769.65,3797.9,3695.05,3732.45,72966,3740.71
2022-12-26,3716.75,3744.9,3620.0,3653.0,99922,3711.03
