DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2023-02-17,531.0,539.65,527.75,538.5,220159,532.32
2023-02-16,540.1,546.85,538.5,546.85,219926,542.25
2023-02-15,542.25,544.65,536.8,540.0,207687,541.31
2023-02-14,540.85,544.6,530.75,539.95,221342,536.92
2023-02-13,537.5,556.9,533.3,554.0,248043,539.69
2023-02-10,553.05,557.25,546.5,546.5,179516,553.81
2023-02-09,550.8,552.0,542.8,552.0,147809,548.33
2023-02-08,549.75,554.5,545.5,550.0,244248,549.76
2023-02-07,547.1,551.4,541.05,548.0,343935,546.83
2023-02-06,545.4,558.8,536.55,558.8,266976,545.24
2023-02-03,544.2,545.95,519.15,536.0,444091,535.23
2023-02-02,528.1,532.65,502.5,520.2,471242,521.91
2023-02-01,527.35,565.0,499.35,561.4,498247,541.41
2023-01-31,553.5,557.0,537.85,545.0,284762,550.83
2023-01-30,538.2,554.35,525.2,536.0,590951,536.97
2023-01-27,539.95,568.55,532.25,568.0,501251,548.08
2023-01-25,568.7,595.85,567.4,595.85,441882,574.28
2023-01-24,594.35,604.6,593.05,603.5,143693,597.94
2023-01-23,600.45,601.75,592.95,598.5,122483,599.43
2023-01-20,592.2,596.6,590.8,593.8,114106,593.93
2023-01-19,589.85,591.75,587.55,591.0,159313,589.57
2023-01-18,591.45,597.15,587.6,595.9,187691,591.61
2023-01-17,592.95,606.0,586.05,603.0,179000,593.93
2023-01-16,603.0,606.1,600.6,603.0,114056,603.22
2023-01-13,600.1,602.9,593.65,597.9,122377,598.73
2023-01-12,594.9,597.9,590.1,597.9,195861,593.57
2023-01-11,596.7,599.5,592.25,596.45,120446,596.73
2023-01-10,595.15,609.0,590.6,608.45,187602,596.1
2023-01-09,607.7,609.0,600.1,605.0,160223,606.07
2023-01-06,600.65,607.45,597.0,607.4,154179,601.57
2023-01-05,605.1,611.6,601.95,607.0,146571,605.84
2023-01-04,605.2,614.95,604.0,611.85,113548,607.74
2023-01-03,612.4,616.6,610.0,614.5,122799,613.26
2023-01-02,612.2,619.2,611.2,614.95,125418,614.42
2022-12-30,613.7,620.55,611.35,615.25,158347,615.43
